amenities,description,name,price
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access","Very nice and warm building with 5 floors, 85 rooms distributed in 40 single rooms with king size beds and 40 double rooms with full size beds and 4 confortable suites. Recreational areas and outdoor swimming pool that gives the perfect window to start an active healthy day or a relaxed endday rest. Six meeting rooms that together integrate the Grand Conference and Banquet room.",Radisson Hotel Guayaquil,"$1,472,$971"
"Paid private parking nearby,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,Solarium","Overlooking the Jardines del Malecón and the Guayas river, the Hotel Ramada is centrally located in downtown Guayaquil. Free breakfast is included. Guests can enjoy the indoor pool, solarium, sauna and fitness center. Free WiFi is available. Rooms at the Hotel Ramada offer accommodation with air conditioning. All rooms feature cable TV and free Wi-Fi and some rooms have scenic river views. Guests at the Hotel Ramada can choose from 2 dining options. ""El Malecon"" restaurant serves local cuisine dishes while the Riva Delicatessen offers fresh sandwiches and pastries. The hotel is located only 5 km from José Joaquín de Olmedo International Airport‎, and within walking distance of local restaurants and nightlife. Airport shuttles can be arranged for an extra charge, and free parking on the street is provided.",Hotel Ramada,"$1,091,$905"
"Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Hiking,Babysitting,Books, DVDs, music for children,Pets Allowed ( Dog / Pet Friendly )","Unique among Guayaquil hotel's offer, IGUANAZÚ feels truly residential, like a home away from home. For this reason Nazu House appeals not only to independent travellers and foreigners, but also for families, groups and locals seeking for a peaceful break. Pet friendly.",Iguanazu Bed & Breakfast,"$1,446,$1,446"
"Secured parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Patio,Table tennis,Kids pool","Experience the local flavor of the tropical gateway to lush Pacific beaches and the beautiful volcanic Galápagos Islands when you stay at the one-of-a-kind Grand Hotel Guayaquil, an Ascend Hotel Collection® Member.",Grand Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities",,Sheraton Guayaquil Hotel,"$1,530,$1,190"
"Paid private parking nearby,Wifi,Restaurant,Children Activities (Kid / Family Friendly),Business Center with Internet Access,Non-smoking hotel,24-hour front desk,Laundry service",,Hotel Sander,$466
"Free parking,Parking,Free High Speed Internet (WiFi),Bicycle rental,Airport transportation,Business Center with Internet Access,Non-smoking hotel,Dry cleaning","Guayaquil Suites hotel, we offer a space for rest and if business is our location is very privileged is in step Guayaquil airport, bus terminal Guayaquil, Guayaquil Convention Center and Mall del Sol Shopping Center. Hotels Guayaquil Guayaquil hotel has rooms: Type: Double, triple, double and single, all with cable TV, Wi-Fi, air conditioning, free local calls, private bathroom with hot shower, Garage, Safe, Maintenance and Cleaning Daily with room service ,; Spread over 3 floors for your entire comfort. The best memory who will visit Ecuador Guayaquil, is the quality and warmth of its people, kind and honest, with good costumbrestos that will surprise anyone who has the opportunity to treat Hotel in Guayaquil",Suites Guayaquil,"$848,$847"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities",,Hotel Marcelius,"$1,160,$1,160"
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Shuttle bus service,Meeting rooms,Baggage storage,Concierge,24-hour front desk","It is said that the time of staying in a hotel for a smart business traveler, a weekender,or a tourist is approximately ten to twelve hours. Neither more nor less than that. A hotel stay should preferabl be simple,time when you can relax and be yourself. Resetting your day, from one day to the next, needs three basic actions: take a shower,sleep like a King,and get your self dressed to go on. Based on this most straight forward concept of staying in a hotel,any smart opened mind will love YU!,a new kind of hotel...and not just because the XL-King size bed, or the powerful rain shower,or the wall-to-wall window,or the free Wi-Fi internet access. It's all those things plus the fact that we care about your pocket. YU!means more with less,a room for people lik eyou...By""you""we mean smart travelers,the weekenders,the adventurers with style,the shoppers,the workaholics short and large. Those who jump from a place to another, seeking for a new experience...and that also,means you. YU!offers 20 brand new rooms in amodern 5 floors building located two blocks from the most important city site in the center of Guayaquil,and a 10 min ride to the Airport. Our vision is to provide you the best value for money hotel in town. To achieve this goal we have fashioned this new concept of hotel. YU!is a 2*hotel. Still believe in stars? Being a low cost hotel doesn't mean offering a low cost environment. All our rooms are non-smoking and include the following: •XL-king size bed for all Queens •sparkling white bed and bath linen •the softest memory foam pillows •wall-to-wall window •black out blind •rain shower for washing away jet lag •32 inches LED TV •individual air-conditioning •in-room safe •free movies •free Wi-Fi fo rFacebooking all your snaps ......Absolutely no swimming pool, bellboys, towel swans, or pillow chocolates.",Yu! Smarthotels,"$676,$676"
"Paid private parking on-site,Free High Speed Internet (WiFi),Free breakfast,Shuttle bus service,Rooftop terrace,Baggage storage,24-hour front desk,Ironing service",,Mansion del Rio,"$1,401,$1,401"
